treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "AkELKA_Chest_ChaosForge_A_TT"
new subtable "1,1"
object category "OBJ_AkELkA_Chest_CF_MagicArmor_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "OBJ_AkELkA_Chest_CF_MagicBoots_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "OBJ_AkELkA_Chest_CF_MagicGlovebox_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "OBJ_AkELkA_Chest_CF_MagicCapes_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "OBJ_AkELkA_Chest_CF_MagicHelmets_B",1,0,0,0,0,0,0,0
new treasuretable "AkELKA_Chest_ChaosForge_MagicArmor_B_TT"
new subtable "1,1"
object category "I_UNI_RobeOfSummer",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_Drow",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Robe_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Cloth_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Cloth_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Padded_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Padded_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Leather_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Hide_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Hide_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainShirt_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainShirt_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ScaleMail_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Breastplate_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Breastplate_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_HalfPlate_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_HalfPlate_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_HalfPlate_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_RingMail_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_RingMail_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainMail_Body_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_ChainMail_Body_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GOB_DrowCommander_Leather_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_UND_Justiciar_Chainshirt_Magic",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Healer_DisengageOnHeal_ChainShirt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Mobility_SprintForMomentum_ChainShirt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Violence_LowHP_Violence_Clothes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_ChargedLightning_Electrocute_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Bard_TempHP_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Paladin_RestoreChannelDivinity_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Orin_Cloth",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Frost_GenerateFrostOnDamage_Robe",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MOO_Ketheric_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_Radiant_RadiatingOrb_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MAG_ZOC_ForceConduit_ChainMail",1,0,0,0,0,0,0,0
new subtable "1,1"
